,Reward,Actor Loss,Alpha Loss,Critic 1 Loss,Critic 2 Loss
0,-26989.363400000006,0.0,0.0,0.0,0.0
1,-32128.0484,0.0,0.0,0.0,0.0
2,-41370.6007,0.0,0.0,0.0,0.0
3,-31979.233000000015,0.0,0.0,0.0,0.0
4,-21900.504999999994,0.0,0.0,0.0,0.0
5,-30258.291999999998,72.24982946087616,-0.7266657959782716,219124.5257260101,216950.20375631313
6,-56719.4179,297.6630481758503,-0.8856437491121316,186300.59501262626,189343.66950757575
7,-35836.6469,390.1622346820253,1.9155375560124714,142338.00512941918,170741.68923611112
8,-66872.6386,406.82125422930477,0.038031957886590986,42668.29024621212,54513.19969223485
9,-21692.213,382.6772118770715,-0.32830101057811817,26666.474126025885,27177.55774542298
10,-59270.75479999997,434.3419741235598,-0.8835440146162955,24645.95001775568,33836.08797447127
11,-84314.14179999998,413.5161280776515,-1.7902897649040126,29753.610825047348,46170.76307015467
12,-71338.6224,411.41222836272885,-1.289412436686983,14646.07181680082,10151.57346659959
13,-55315.17970000003,553.0356349752407,-0.5556033092616784,56473.53612294823,48204.861579663826
14,-33522.713800000005,439.60364786783856,0.6976563706241473,20426.96769452336,22810.171722103853
15,-11242.357499999998,435.34558413727115,0.5649091994973144,47297.2502761995,46214.58131115846
16,-22680.678399999997,425.8735413214173,-2.8224135673407353,41977.883404356064,44610.80930397727
17,-8283.3814,504.74059935290404,-0.5148555645436952,33760.96134193498,25949.75038470644
18,696.7908999999995,357.8780838166825,-0.9895350391214545,41252.690755208336,42040.724165482956
19,4519.434399999999,184.78624471028647,-1.0775337095814521,18399.79691445707,19675.866013652147
20,5669.077400000001,168.57258382469718,-0.40369541032446754,15196.807883522728,16832.34664023043
21,3833.3732999999997,156.2831855542732,-0.10404928103841916,12536.83063052399,13935.386235400883
22,4171.114199999998,157.0898455995502,0.06139304101316616,10885.417283183397,12925.192451862375
23,1400.0611,166.49053207551592,0.04504743658683517,8761.258113360163,10525.412543402777
24,1278.783400000001,188.80496192700934,-0.12423617103033596,7725.899251302083,9601.505080097853
25,1347.4436,209.94393057775017,-0.08822036634265172,7996.719445430871,10127.69921875
26,1616.0602000000001,229.28229561237373,0.00636991931859291,8921.76861880524,11051.951245857008
27,187.7691999999996,254.35411950313684,-0.13686300198914428,10337.103061868687,12545.521592881945
28,2159.4847000000013,258.8130873863143,0.024302605276155954,10836.099061908144,13514.429766414141
29,4400.566800000002,378.72940479625356,0.7683217702339394,16143.22079190341,23735.214528093435
30,-23105.140100000004,704.5624435887192,1.6221367074082595,31384.723805437185,109212.16084674874
31,17.94239999999931,446.38044692530775,0.16778377334427352,21682.989188762625,28525.136728614267
32,6037.1037,353.21669545799796,-0.558807416094674,13689.255607836174,16959.87971511995
33,5661.404600000003,348.51373969184027,-0.46811063373179146,10939.774039220329,13574.548246133207
34,6998.914799999999,372.09867658518783,-0.5198453585382061,10155.910777698864,12375.54912405303
35,7585.832399999999,399.56499350191365,-0.2934776274769595,10997.375325520834,12343.997844657513
36,7858.2429,412.61577690972223,-0.15155626874830988,10371.856839883207,12259.297989662247
37,9863.4449,435.5309432829269,-0.09728308913834167,9976.039605034723,11669.912449692234
38,8837.369599999998,466.7418576635496,-0.0009145523713092611,10597.547861426769,12013.957198942551
39,8402.4069,482.5540426235006,0.0045632640219698045,10096.35228259154,11075.007013494318
40,8425.2522,499.1912114307134,0.0832097427637288,10767.62187795928,12059.807119041981
41,9334.203999999998,514.9943496241714,0.05524150711117369,9616.20579821654,11143.360987807766
42,9631.920799999994,532.5010064635613,-0.0263488209533571,9110.087619357639,10542.011901238951
43,9175.336200000002,545.4760961050939,0.004237268327011002,8883.769935684975,10181.720212377682
44,8873.107299999998,548.1683565390231,0.09737927976506527,9206.8955078125,10469.397322837753
45,8385.659599999999,558.1119578968395,0.005467810282351995,9349.41450145991,10396.721561316288
46,9735.549000000003,564.1208083027541,-0.016818281225483827,9457.383424084595,10575.329634232954
47,8581.4408,563.642714991714,-0.010086063257973604,8819.139786537247,9815.940488873106
48,8687.462800000003,575.0259479561238,-0.011445215592781702,9199.98887310606,9803.279015743372
49,8835.000899999997,570.3879067777383,0.08800864708845062,8470.373493233112,9364.863074100378
50,9213.403099999998,575.4698332198942,-0.025711725418916857,8482.818640506628,9475.23129241635
