,Reward,Actor Loss,Alpha Loss,Critic 1 Loss,Critic 2 Loss
90,9460.861899999996,-339.4935629488242,-0.5985613683558474,5813.313254616477,5710.49362768308
91,9595.581600000003,-343.17936105439156,-0.49186787569914203,5812.568877249053,5708.844711766098
92,9788.972199999998,-346.89570756392044,-0.6838554530733764,5765.839927596276,5675.692688604798
93,10005.547299999997,-350.5520485001381,-0.4628355690475666,5826.624373619003,5730.398615056818
94,9029.546,-354.25786459566365,-0.5809727234370781,5669.692402541035,5573.33232717803
95,9499.063600000001,-357.9265065819326,-0.40858542550392823,5711.146933199179,5617.543427438447
96,9625.789500000003,-361.62207524463383,-0.5619587838047683,5693.985277580492,5592.873165246212
97,9091.620299999997,-365.2779013893821,-0.40181196213822173,5586.8850862137,5488.419635811238
98,9997.5879,-368.8957547274503,-0.42119171840110514,5573.704210069444,5482.319853811553
99,9846.730499999998,-372.54586822818027,-0.4789553667145847,5531.60101010101,5438.844440498738
100,9111.0305,-376.19281622376104,-0.18865017007772972,5624.655066287879,5526.120112255366
101,9758.3033,-379.8539869520399,-0.282237394797531,5501.828869752209,5410.157734572285
102,9133.465300000002,-383.47694258256394,-0.15566653652925683,5549.640694049874,5459.2151643387
103,9641.3838,-387.1591840031171,-0.21754689486415096,5550.546717171717,5460.849727746212
104,8842.001100000001,-390.8278457179214,0.003390338196597918,5433.40693803267,5346.93811651673
105,9552.024800000001,-394.4466025612571,0.10942687036827056,5466.471206202652,5375.088916508838
106,8786.619499999997,-398.0496789180871,0.2873517100068957,5400.84909643308,5306.934343434344
107,11029.466299999998,-401.6190684925426,0.4894694844354885,5424.357939749053,5344.960967092803
108,13143.4116,-405.25079993045694,0.5075787962085069,5401.59491891572,5285.715711805556
109,12135.281499999997,-408.85736268939394,0.7098833032403932,5516.550529711174,5418.097749960543
110,13595.169900000003,-412.520231613005,0.5239572551364851,5416.752268781565,5297.75761274858
111,12300.786100000001,-416.165107495857,0.590825104521531,5426.719625453757,5291.03273950442
112,11508.689499999997,-419.87299909495346,0.4479305257061214,5515.963951033776,5383.241001321812
113,12223.682299999997,-423.5914053868766,0.44594488059631504,5365.686567826705,5222.155539772727
114,12918.563300000003,-427.3230855922506,0.1544873716516627,5406.638755721276,5258.351345486111
115,11231.060899999997,-430.9702096033578,0.46930198314966576,5505.022574376579,5337.095823962279
116,11345.894400000001,-434.6710565740412,0.49411464601077815,5420.820988202336,5262.50595555161
117,11558.143999999998,-438.3617202296401,0.5497442178352915,5434.752683080808,5277.948908025568
118,11697.424799999999,-442.04466571229875,0.6690987572638374,5387.283094618056,5190.853024877683
119,11103.7901,-445.7185866230666,0.6852168060011334,5391.023708767361,5208.381500552399
120,12214.62,-449.3787225280145,0.701687151885996,5372.307814472853,5177.459521977588
121,11966.794200000004,-453.0252919823232,0.7085519087209244,5354.718372691761,5193.527476917614
122,12751.884000000004,-456.8694470338147,0.6549908756795857,5305.611508147885,5163.027545967488
123,12671.281099999997,-460.6900079900568,0.6351478825313877,5440.215603298611,5305.052475437973
124,12428.597700000004,-464.5675520463423,0.4866572197413806,5419.422000769413,5280.213640309344
125,12496.634999999993,-468.3284184619634,0.42587075258294743,5349.87958688447,5239.465206261837
126,12478.0748,-472.01969709300033,0.5558399769355251,5355.100082859848,5245.350255484533
127,12805.989699999998,-475.88089513297035,0.40137329695727486,5340.253109710385,5242.101227114899
128,12704.060500000001,-479.6700211341935,0.4401820315179801,5431.166819562815,5297.407029277147
