,Reward,Actor Loss,Alpha Loss,Critic 1 Loss,Critic 2 Loss
822,8745.883800000001,-1240.5283338758682,0.0596485131354344,280.3976179951369,247.59353514391967
823,8727.817499999997,-1242.3610704210068,-0.047548157021854866,281.2993433788569,248.3461992668383
824,8907.771499999999,-1241.2422220249368,-0.05933482508466701,278.56767858640114,254.1835734049479
825,9298.933199999996,-1242.7603833747633,0.02803321427317581,312.35611886689156,282.19394290808475
826,8952.046499999997,-1243.0486826270517,0.08474010915843526,306.9616087325896,278.7786198625661
827,8916.8891,-1244.1167510061553,-0.02880442584629613,278.91473604452733,251.91669518056543
828,9237.633600000001,-1244.7260162661773,-0.01897025029316093,273.16684083264283,244.53909085976957
829,9183.210399999998,-1245.3746424202968,0.04926642327748164,286.8839564467921,251.89080301920572
830,9115.434399999998,-1245.7103000217014,-0.0031635403783634455,292.16482513119473,265.41319089947325
831,9493.560300000001,-1246.2224429352116,0.04765385667784045,309.59853925608627,282.2469619596847
832,8888.333699999997,-1246.7753684303977,-0.02797014213571645,295.4528870245423,262.65160562534527
833,8965.027199999997,-1246.7750268801294,0.021033167218168575,308.57808955028804,275.9083278155086
834,8696.530200000001,-1248.3721553918087,-0.0015036877094194144,288.05828857421875,257.67562619604246
835,8986.8865,-1248.6433475378788,0.053136374613251346,262.80543533479323,238.09308246651082
836,9004.320400000002,-1249.9761112097538,-0.05036193881221492,288.6589759287208,251.67469433100536
837,8903.552699999997,-1249.436037622317,0.04855870922105481,312.15063276194564,284.48707873411854
838,9138.365099999997,-1250.5988103693182,-0.010607899702859648,280.8388374405678,251.1720024648339
839,8659.6097,-1250.7931956281566,-0.05532315661284057,309.20148398659444,275.37695466629185
840,9027.360900000003,-1251.114442767519,0.00833054387358704,268.3636585582386,238.1956796357126
841,8843.463400000002,-1253.013425268308,0.00032101782283397635,289.738495797822,264.8939820877229
842,9104.695599999997,-1253.2678666548295,0.04842308893649265,298.8646169334951,264.71481084341957
843,9007.524399999998,-1253.7121729995265,-0.029322169382463802,285.0801115710326,253.05352151273476
844,9031.248599999997,-1254.5261809994477,0.06005344903002484,297.58734593246925,266.23695558490175
845,9258.725999999995,-1256.0752212062027,0.003457231202510872,291.8122421418778,251.63786947847618
846,9234.041699999998,-1256.7135059086963,-0.0630012648838638,283.2704436947601,252.24808479077888
847,9208.389499999994,-1257.1348950935133,0.06176301125775684,300.73729898472027,267.9476614287405
848,9104.713,-1257.0649944266888,-0.020914871001032866,265.909469450363,233.81002853855944
849,9019.7799,-1257.9525898634786,-0.01942855842185743,262.3879194163313,234.44532483033458
850,8964.312599999997,-1258.1974468809185,-0.017135493005767014,264.2120592521899,236.52637920957622
851,9083.2991,-1258.481278852983,-0.07004861401939633,253.06390843246922,230.93693203396268
852,9347.552799999998,-1259.1679835464015,-0.04911777354551084,278.13733542085896,246.50856218434345
853,9060.149499999998,-1259.8396846886837,0.015752728275879466,269.7992962153271,242.3701953309955
854,8847.213900000002,-1260.5389626242898,-0.011014715307439216,249.73505101059422,221.0163108748619
855,9403.3095,-1261.1373180042613,0.07063950756282518,273.4244227553859,246.27381203391334
856,9025.564400000005,-1261.7487127130682,-0.00782881850245023,259.84304008098565,232.7200305052478
857,9120.470899999997,-1261.853595772175,0.02204806903245473,246.95143142854326,222.99236598159328
858,8989.8977,-1263.9790889855587,0.018714497185716727,263.15181739884196,231.0347137451172
