,Rewards Episodi,actor_losses,critic_losses,exploration_rates
0,-459.6200000000003,0.0,0.0,0.2988621064714131
1,978.8899999999999,0.0,0.0,0.29850366912690285
2,-87.62999999999994,0.0,0.0,0.29752018149074194
3,-175.87000000000003,0.0,0.0,0.29719307287812086
4,-857.11,0.0,0.0,0.29639169386026737
5,181.86,0.0,0.0,0.29630278524356374
6,337.84,0.0,0.0,0.29618428190644824
7,719.7199999999999,0.0,0.0,0.2959474173959377
8,592.77,0.0,0.0,0.2956516031193723
9,657.1200000000001,0.0,0.0,0.29520843601439534
10,-366.60999999999996,0.0,0.0,0.29479541273622567
11,-520.4899999999999,0.0,0.0,0.29420638168611346
12,199.08999999999995,0.0,0.0,0.29370663075793585
13,685.5500000000001,0.0,0.0,0.2932077287270146
14,301.06000000000006,0.0,0.0,0.29306115418049206
15,744.9300000000002,0.0,0.0,0.29244634079554094
16,-23.770000000000067,0.0,0.0,0.2922709168521663
17,335.0,0.0,0.0,0.29218324434494586
18,258.06000000000006,0.0,0.0,0.2916577613071567
19,747.65,0.0,0.0,0.2904934023135511
20,512.61,0.0,0.0,0.29029011792537984
21,-1044.1599999999999,0.0,0.0,0.28947840194143815
22,-4184.219999999999,0.0,0.0,0.28838041660732205
23,247.74,0.0,0.0,0.2883227434078048
24,552.97,0.0,0.0,0.28806335671071
25,435.41,0.0,0.0,0.28794814865067486
26,-243.5500000000001,0.0,0.0,0.2867699193494131
27,-1298.59,0.0,0.0,0.28631143144181836
28,565.61,0.0,0.0,0.28602524881616936
29,876.2,0.0,0.0,0.28559651113935386
30,-97.95999999999995,0.0,0.0,0.28494036121736793
31,-323.98,0.0,0.0,0.28422886448040574
32,252.88,0.0,0.0,0.284029963953384
33,273.48,0.0,0.0,0.28397316080089297
34,924.87,0.0,0.0,0.28349079243799596
35,-321.00999999999993,0.0,0.0,0.2830375472003428
36,344.18,0.0,0.0,0.28295264442702606
37,685.71,0.0,0.0,0.2826980888862294
38,288.42999999999995,0.0,0.0,0.28241551797756537
39,216.70000000000002,0.0,0.0,0.2823025687141758
40,298.45,0.0,0.0,0.2820203931477471
41,-445.45000000000016,0.0,0.0,0.281428742190044
42,1333.12,0.0,0.0,0.28089450855043674
43,-1236.5700000000002,0.0,0.0,0.2802491613466619
44,-1640.72,0.0,0.0,0.2789350152425211
45,180.42,0.0,0.0,0.2787955756256122
46,-750.86,0.0,0.0,0.2785447599505411
47,476.32999999999987,0.0,0.0,0.27790481122784144
48,321.09,0.0,0.0,0.27768256517664563
49,581.7,0.0,0.0,0.27748824568464275
50,893.2499999999998,0.0,0.0,0.27704459732209924
51,-2537.0600000000018,0.0,0.0,0.27582821827035203
52,-594.4399999999999,0.0,0.0,0.2753596852381717
53,696.8300000000002,0.0,0.0,0.27469958142929574
54,236.01999999999998,0.0,0.0,0.2745622591057924
55,-776.9000000000001,0.0,0.0,0.27417812169478695
56,446.34999999999997,0.0,0.0,0.2738492888460079
57,1069.2799999999997,0.0,0.0,0.27341145844969517
58,968.5600000000002,0.0,0.0,0.27302893111279847
59,-2141.4700000000003,0.0,0.0,0.2726196742723161
60,1175.6999999999998,0.0,0.0,0.27210216280677896
61,321.78999999999996,0.0,0.0,0.271966138932871
62,-1658.2399999999998,0.0,0.0,0.27125991015489165
63,-743.7099999999998,-0.03238554239273071,917.622265625,0.2706908336287644
64,1011.81,-0.19093809708952902,3749.64236328125,0.2702580529724211
65,-138.86999999999995,-1.1856590294837952,4317.2977734375,0.2697450245512689
66,-524.6100000000001,-0.7977053499221802,2591.2346484375,0.26947540087961497
67,354.48,-1.1444562768936157,3395.81630859375,0.269071470604892
68,510.28999999999996,-0.44477315902709963,1571.08900390625,0.2688831770710608
69,199.21,-0.5862861776351929,1933.1172265625,0.26864127898705786
70,-115.59000000000005,-0.7991641616821289,3156.0836328125,0.2682654255622814
71,190.39,-0.39470371723175046,1728.9780859375,0.26805088832112983
72,229.55,-0.22395531177520753,1337.82453125,0.26791688967937777
73,221.97,-0.13520671129226686,1073.57306640625,0.2678097389974478
74,602.55,-0.11648216485977173,1460.18537109375,0.26764909332015446
75,539.5699999999999,-0.08837017357349396,1877.96060546875,0.26743504897225806
76,359.06,-0.04467444062232971,719.47755859375,0.2673548264803504
77,320.61999999999995,-0.0500977623462677,603.71439453125,0.2672746280527838
78,290.53999999999996,-0.1416290032863617,1307.1652734375,0.2671143033618012
79,739.47,-0.30597068548202516,1633.159345703125,0.2669006866961602
80,637.96,-0.34410850048065184,1528.37140625,0.26674058631390785
81,699.6800000000001,-0.745970606803894,2445.884326171875,0.2664473183322817
82,610.1899999999999,-0.5045327806472778,1574.697314453125,0.26626086115406133
83,1053.4600000000003,-0.9388868141174317,2351.73078125,0.26596812060634123
84,431.12999999999994,-2.2749780559539796,5274.91283203125,0.2653570663574976
85,319.4,-0.20935040473937988,556.93935546875,0.26530399759779677
86,724.08,-0.9573707866668701,1922.31228515625,0.2650653194871157
87,348.22,-0.45974595069885255,975.4261328125,0.26495930926217987
88,591.99,-0.6147282409667969,1110.00998046875,0.2648268561008302
89,418.78999999999996,-0.5284641075134278,912.5111328125,0.26472094124694195
90,560.76,-1.0539456462860108,1435.642548828125,0.2645356921702025
91,302.15999999999997,-0.32028077125549315,342.5315234375,0.26448278767712535
