,Rewards Steps
448,-23.0
449,8.0
450,71.0
451,-68.24999999999999
452,-27.0
453,40.0
454,-194.0
455,93.0
456,-4.190000000000005
457,156.0
458,16.750000000000007
459,-133.0
460,-6.0
461,2.0
462,-19.0
463,-186.0
464,-370.0
465,-60.0
466,-43.0
467,40.0
468,-262.0
469,-120.0
470,-10.0
471,-219.32
472,68.0
473,120.7
474,-17.460000000000008
475,36.16000000000001
476,142.72
477,75.4
478,117.61999999999999
479,-271.0
480,-217.0
481,87.0
482,-12.039999999999996
483,-223.0
484,-246.0
485,-127.0
486,-178.0
487,140.0
488,3.999999999999993
489,160.0
490,9.669999999999995
491,-39.12
492,-179.0
493,24.0
494,-180.0
495,-121.0
496,38.0
497,142.26
498,6.0
499,-187.0
500,27.0
501,-222.0
502,-2.0
503,112.0
504,42.02
505,69.0
506,-24.0
507,-306.0
508,-24.0
509,-33.0
510,0.0
511,272.0
512,38.58
513,-377.0
514,-41.0
515,-177.0
516,-51.0
517,120.0
518,3.5999999999999943
519,68.82
520,79.73
521,33.45
522,131.14000000000001
523,-354.0
524,-60.0
525,-163.0
526,-54.0
527,-114.0
528,-85.0
529,-96.0
530,-56.0
531,-36.0
532,-63.0
533,-132.0
534,-244.0
535,-211.0
536,-274.0
537,38.0
538,89.0
539,-324.09
540,-125.0
541,-387.0
542,-131.0
543,-147.0
544,51.0
545,-273.78000000000003
546,-258.0
547,-76.0
548,-12.840000000000003
549,102.47999999999999
550,-200.0
551,12.0
552,-21.0
553,-252.0
554,112.0
555,-147.04999999999998
556,-1.0
557,6.0
558,-360.0
559,0.0
560,-82.0
561,-70.0
562,-303.0
563,-27.0
564,-9.0
565,-130.0
566,-211.0
567,-254.0
568,-315.0
569,-91.0
570,-68.0
571,94.0
572,58.94
573,-237.0
574,-201.0
575,-276.0
576,41.0
577,-193.0
578,-207.0
579,-37.0
580,-2.0
581,-363.0
582,-39.0
583,175.83999999999997
584,62.4
585,-375.0
586,-75.0
587,-99.0
588,0.0
589,61.0
590,106.44
591,172.3
592,-20.440000000000005
593,-95.60000000000001
594,97.0
595,-36.0
596,-197.0
