,Rewards Episodi,actor_losses,critic_losses
73,302.94,"tf.Tensor(1.1279999, shape=(), dtype=float32)","tf.Tensor(1257.7483, shape=(), dtype=float32)"
74,391.4,"tf.Tensor(1.4603546, shape=(), dtype=float32)","tf.Tensor(1616.8364, shape=(), dtype=float32)"
75,302.46,"tf.Tensor(0.9577661, shape=(), dtype=float32)","tf.Tensor(875.5318, shape=(), dtype=float32)"
76,302.64,"tf.Tensor(1.0910835, shape=(), dtype=float32)","tf.Tensor(1202.9126, shape=(), dtype=float32)"
77,302.64,"tf.Tensor(0.9728922, shape=(), dtype=float32)","tf.Tensor(903.38916, shape=(), dtype=float32)"
78,305.64,"tf.Tensor(1.6883818, shape=(), dtype=float32)","tf.Tensor(1722.1644, shape=(), dtype=float32)"
79,305.64,"tf.Tensor(1.4554706, shape=(), dtype=float32)","tf.Tensor(1522.4686, shape=(), dtype=float32)"
80,302.46,"tf.Tensor(1.027438, shape=(), dtype=float32)","tf.Tensor(1202.0992, shape=(), dtype=float32)"
81,302.64,"tf.Tensor(1.0178218, shape=(), dtype=float32)","tf.Tensor(1225.2711, shape=(), dtype=float32)"
82,320.76,"tf.Tensor(1.5835865, shape=(), dtype=float32)","tf.Tensor(1576.9364, shape=(), dtype=float32)"
83,302.0,"tf.Tensor(0.965687, shape=(), dtype=float32)","tf.Tensor(1285.5648, shape=(), dtype=float32)"
84,298.24,"tf.Tensor(0.9381869, shape=(), dtype=float32)","tf.Tensor(956.2347, shape=(), dtype=float32)"
85,302.64,"tf.Tensor(1.0861651, shape=(), dtype=float32)","tf.Tensor(1190.4113, shape=(), dtype=float32)"
86,302.64,"tf.Tensor(0.9847797, shape=(), dtype=float32)","tf.Tensor(1176.4894, shape=(), dtype=float32)"
87,302.64,"tf.Tensor(1.1431671, shape=(), dtype=float32)","tf.Tensor(1122.3892, shape=(), dtype=float32)"
88,302.64,"tf.Tensor(1.0412899, shape=(), dtype=float32)","tf.Tensor(911.775, shape=(), dtype=float32)"
89,302.64,"tf.Tensor(0.99567014, shape=(), dtype=float32)","tf.Tensor(1003.21173, shape=(), dtype=float32)"
90,278.03,"tf.Tensor(1.9520967, shape=(), dtype=float32)","tf.Tensor(2198.9565, shape=(), dtype=float32)"
91,302.28,"tf.Tensor(1.1678365, shape=(), dtype=float32)","tf.Tensor(1496.7887, shape=(), dtype=float32)"
92,341.84,"tf.Tensor(2.8949125, shape=(), dtype=float32)","tf.Tensor(2857.855, shape=(), dtype=float32)"
93,302.1,"tf.Tensor(1.1369377, shape=(), dtype=float32)","tf.Tensor(975.7289, shape=(), dtype=float32)"
